image_path,dataset,scene,rotation_matrix,translation_vector
haiper/bike/images/image_004.jpeg,haiper,bike,-0.0444086367008516;-0.9943622104926982;0.09628949750853807;0.9986331612409772;-0.046844259040573544;-0.023182421460928408;0.027562334012638766;0.09512838555875217;0.9950833673641426,-0.1960672197513899;-1.7201514631645476;2.903829460577829
haiper/bike/images/image_029.jpeg,haiper,bike,-0.30379429789458934;-0.780428110344117;0.5464805478253041;0.9145370713683106;-0.07808007301844855;0.39689475593727297;-0.26707858330425394;0.6203510834859117;0.7374507194098112,-0.7743795049636117;-2.4063622468195978;4.203909143745581
haiper/bike/images/image_038.jpeg,haiper,bike,-0.44075875074949056;-0.6141344795467536;0.6546530108917141;0.867590366595343;-0.47854988364060747;0.13519232470269874;0.23025785421719533;0.6275578458591683;0.743742207133556,-0.8061619977689489;-1.3614914099692277;2.5759478940562475
haiper/bike/images/image_049.jpeg,haiper,bike,-0.4615070783507189;-0.037215312681071866;0.8863555929389929;0.8040800303783029;-0.4396458084204713;0.40020853050021077;0.37478863560547204;0.8973999017385508;0.23282374230440572,-0.05029237007998646;-2.0953351075544067;3.12810973820488
haiper/bike/images/image_062.jpeg,haiper,bike,0.06454466684801141;0.9943063402602297;0.08478730860092054;0.4756129732667718;-0.10534486778652563;0.8733239710962826;0.8772834693768146;-0.01604246082582078;-0.4797044442245997,0.45813698932578173;-1.7352377000311676;3.6787628191855104
haiper/bike/images/image_076.jpeg,haiper,bike,0.566876909470875;-0.09510152245268588;-0.8182947329269147;0.7283420465059043;0.5219901245963793;0.44389657930135884;0.3849265290939824;-0.8476331814240389;0.3651705860945289,1.1496049380742543;-1.4930263438651057;2.5737892552677555
haiper/bike/images/image_088.jpeg,haiper,bike,0.253507028584536;-0.8760074072730466;-0.4102989262245197;0.9590106294413812;0.17207774303018175;0.22513965215413392;-0.12662068976547602;-0.45055551573185004;0.8837233323653516,-0.44871563031823725;-1.750899302580256;2.680271305930209
haiper/bike/images/image_094.jpeg,haiper,bike,0.15438718127182738;-0.9293944893965761;-0.3352468960903555;0.9431470897418158;0.03754610725095775;0.3302481747744308;-0.2943436178524741;-0.36717321921618595;0.8823523455626666,-0.37595896679394963;-2.714322519243274;4.132218436169383
haiper/bike/images/image_101.jpeg,haiper,bike,0.4234658773801474;-0.6722258122106511;-0.6072800903145044;0.8355024044229097;0.5489172156097923;-0.025012449114979213;0.3501605101923956;-0.4967920569060291;0.7940939927344105,-0.11276896793699917;-0.7117396520115244;1.9148700046404166
haiper/bike/images/image_115.jpeg,haiper,bike,0.3904043657227909;0.16367189264027227;-0.9059778930990185;0.886103227677772;0.2002192987628073;0.4180111270073611;0.24981093075287913;-0.9659833041841256;-0.0668637040097193,0.8296975499797659;-2.3480417943432315;3.4725080999174276
haiper/bike/images/image_119.jpeg,haiper,bike,0.34139276573704824;0.81351456101145;-0.4707919269961591;0.7000409860789787;0.11417145834973563;0.7049166588383807;0.6272109671489972;-0.5702270925873677;-0.5305162255458145,-0.10007794513469218;-2.544833204003964;4.041704877255577
haiper/bike/images/image_128.jpeg,haiper,bike,-0.2177248850251865;0.694914687853886;0.6853389315117779;0.6038737563301725;-0.45573299365286246;0.6539448944000462;0.7667674750903672;0.5562382718773818;-0.32041632923808194,-1.1094352034062702;-2.5456449855138703;4.578881332713906
haiper/bike/images/image_137.jpeg,haiper,bike,0.22425244568562896;0.8687843075194276;-0.4415027379439488;0.5321296330155884;0.27037746556631903;0.8023304056189255;0.8164244571732951;-0.4148612456254779;-0.401673066818486,0.7847615822482943;-0.25685464008216424;3.378845296892327
haiper/bike/images/image_139.jpeg,haiper,bike,0.45484758018631954;0.5331256298557034;-0.7133657838651987;0.39137716154806446;0.5998628128469243;0.6978456299081884;0.7999609966849822;-0.5966084717420089;0.06419295310573336,1.0869579831200566;-1.5594034733929556;3.044106078940818
haiper/bike/images/image_150.jpeg,haiper,bike,0.5749716111003644;-0.2792314233637461;-0.7690497114198196;0.8095661257577345;0.3301496854934556;0.4853904337687187;0.11836525864570091;-0.9016823151059519;0.4158829981748563,0.42673787089296894;-1.8688015981412343;2.7976782312737254
haiper/chairs/images/image_004.jpeg,haiper,chairs,-0.07059638852412253;-0.9442807436155352;0.3214809903621727;0.9960524114297933;-0.08411845838877552;-0.02834922650073704;0.05381211399160388;0.3182105626706758;0.946491571115436,0.3809614365764952;-1.6256966809250726;3.33719894602051
haiper/chairs/images/image_020.jpeg,haiper,chairs,-0.3659456889630399;0.3842974007945163;0.8475843677604877;0.7659282432334646;-0.39295841940145704;0.5088591227823354;0.5286186517203733;0.8354036080626466;-0.15054279354803768,0.13627269462740585;-1.5501273598126226;2.6200410453521723
haiper/chairs/images/image_035.jpeg,haiper,chairs,0.11257031974690423;0.9715292312060997;-0.20846792564844296;0.630340843391715;0.09235996914613531;0.7708048113832362;0.7681134969939671;-0.21817559215322402;-0.6019975637195627,-0.024999599497662124;-2.0458979100009156;3.0893176074488427
haiper/chairs/images/image_045.jpeg,haiper,chairs,0.3206193138494339;0.2952175472716687;-0.9000276970013857;0.7977095187742449;0.42819899867817923;0.4246235287733915;0.5107472753169425;-0.8541031654981175;-0.09820897842058329,0.5695194341338387;-1.7437631251118084;3.934923682358765
haiper/chairs/images/image_051.jpeg,haiper,chairs,0.3960162224335697;-0.14735318480513854;-0.9063433071950321;0.8129452294082367;0.515206537610035;0.27144479657246934;0.4269557419122446;-0.8443040107281632;0.32382021542285244,0.14449219436721794;-2.024219790309946;3.3893121608068424
haiper/chairs/images/image_073.jpeg,haiper,chairs,-0.3583872542690649;-0.6233144453051268;0.695009120984353;0.9284325948291811;-0.15994923742114087;0.33530457543426007;-0.09783400654289215;0.76543800775919;0.6360292158709437,0.37140031217908903;-1.650134096379935;3.7081803045941584
haiper/chairs/images/image_094.jpeg,haiper,chairs,-0.008476045681812261;0.9399672003017902;0.3411595213480264;0.8296667549590283;-0.18383649131055124;0.5271216369856031;0.558194618717662;0.28751662007515383;-0.778301330343977,-0.5761275294914505;-2.278861465855582;4.329563938998146
haiper/chairs/images/image_103.jpeg,haiper,chairs,0.34034481747249645;0.6646177287654018;-0.6651681590623021;0.8412616733062033;0.10078760064237935;0.531150314489975;0.4200526184249539;-0.7403547353583086;-0.524814885066029,-0.2691412330902339;-1.373602108243204;2.9594900818582164
haiper/chairs/images/image_115.jpeg,haiper,chairs,0.2808077557603452;0.5444827727540745;-0.7903704919079869;0.5908973523762201;0.5508466312906606;0.5894135286456397;0.756298435314798;-0.6325397212584882;-0.16705142253396899,-1.0950210135265055;-1.3353769956354151;2.5178976814191927
haiper/chairs/images/image_122.jpeg,haiper,chairs,0.030810876850751345;0.9833308060270264;-0.17919602614435065;0.5082866510186762;0.13895486608413576;0.8499036566504221;0.8606366075550742;-0.11726922490482666;-0.49553260097224183,-1.1694178097046852;-1.1424653779547964;2.2926204677685815
